experience_id,skill_id
1,1
1,2
1,6
1,7
1,8
1,10
1,12
1,13
1,14
1,15
1,26
1,27
1,28
1,31
1,32
1,34
1,35
1,40
1,41
1,42
1,45
1,46
2,2
2,3
2,4
2,16
2,17
2,22
2,25
2,30
2,34
2,35
2,36
2,37
2,40
2,41
2,42
2,44
2,45
2,46
3,2
3,4
3,16
3,17
3,18
3,20
3,21
3,22
3,23
3,24
3,46
4,2
4,3
4,4
4,5
4,8
4,9
4,12
4,13
4,26
4,29
4,31
4,32
4,33
4,35
4,37
4,40
4,41
4,42
4,43
4,44
4,46
5,2
5,3
5,4
5,5
5,8
5,9
5,12
5,13
5,26
5,29
5,31
5,32
5,33
5,35
5,37
5,40
5,41
5,42
5,43
5,44
5,46
7,2
7,16
7,17
7,18
7,19
7,22
7,25
8,3
8,4
8,8
8,10
8,12
8,13
8,14
9,2
9,20
9,21
9,22
9,23
9,24
10,2
10,18