desc_id,skill_id
1,2
1,6
1,7
1,28
1,26
1,40
2,26
2,27
2,28
3,2
3,6
3,34
3,40
3,41
4,1
4,7
4,8
4,10
4,12
4,13
4,14
4,15
4,42
4,45
5,2
5,16
5,17
5,18
5,22
6,2
6,16
6,25
7,3
7,29
7,34
7,40
7,41
7,42
8,4
9,36
9,37
9,30
10,4
10,5
11,2
11,3
11,4
11,31
11,33
12,2
12,4
13,42
13,44
13,43
14,5
15,2
15,4
15,46
16,2
16,4
16,5
16,32
16,40
16,46
17,3
17,4
17,18
17,33
17,32
18,3
18,8
18,9
19,2
19,16
19,17
19,18
19,19
19,22
19,25
19,46
20,3
20,4
20,8
20,13
20,14
21,2
21,20
21,21
21,23
21,24
22,2
22,18